ID,Comentario de Cliente,temática
57,@LIDERcl @rociosalazarp Lider es un fraude ... Compré un pedido que nunca me llegó y además no me devuelven el dinero...,"

Reclamo por un pedido no recibido y falta de devolución de dinero."
68,"@LIDERcl ayer fui al lider las brujas y compre 2 quiches q se encontraban con descuento, me imagine q el descuento se debía pq estaba próximo la fecha de vencimiento, al llegar a mi casa fui a poner las quiches en el horno y estaban llenas de Hongos, rabia extrema... https://t.co/g5B5NNnMCu","

Calidad de los productos de Lider."
71,"@LIDERcl hola quiero sacar la copia de la boleta, como puedo hacerlo?","
Solicitud de Boleta de Compra."
76,"Estoy esperando desde septiembre la devolución de mi dinero de una compra que no se concreto, acabo de comunicarme con servicio al cliente y me dicen que mi caso aparece cerrado y NO me han devuelto el dinero, nadie se ha contactado conmigo y cerraron el caso, COMO ES POSIBLE? Y resulta que la gran solución que me entregaron fue asignarme un nuevo número de caso y ahora debo partir desde cero!! SON UNOS SIN VERGÜENZAS, DESCARADOS","
Servicio al cliente de Wallmart."
78,Sin stock y nadie te avisa 😡,"

El descontento por falta de stock y falta de comunicación."
86,Oye @LIDERcl   han pasado ya varios días y todavía no me devuelven el dinero de lo que no me llegó,"
Reclamo de devolución de dinero."
90,"@LIDERcl Nuevamente hoy no tuve respuesta de si parte. Si de su proveedor quien me dijo que no hay stock del producto, por lo que ustedes deben hacer devolución de dinero. CAS-3847920 ese es mi número de reclamo. Cero seriedad de parte de líder hasta el momento.","

Devolución de dinero por producto no disponible."
94,"@LIDERcl como es posible esperar más de 1 mes el despacho de un producto... indicaron 2 veces que lo despacharían y nunca llegaron el día (se supone que hay stock) y al final anulan la compra unilateralmente....  una real vergüenza @LIDERcl  las respuestas de lider mandarte a una chat que no ayuda a nadie..... Escríbenos por DM para poder ayudarte notificando al área encargada de la gestión, selecciona la opción que más se acerque a tu reclamo para que uno de nuestros ejecutivos pueda atenderte.   ...","
Reclamo por demora en el despacho de un producto comprado en Lider."
96,"@LIDERcl  llevo más de 2 meses esperando la devolución de mi dinero…CAS-3657156!!! Terrible servicio, que empresa tan estafadora!!!","

Servicio al cliente de Wallmart."
114,"LADRONES, MIL VECES LADRONES, desde el mes de septiembre espero la devolución de mi dinero, de un pedido que no se concreto, hoy nuevamente escribí como lo hago todas las semanas y la respuesta sigue siendo la misma, mi caso está en gestión, un ejecutivo se contactara, 5 MESES y aún nadie ha sido capaz de responder. De verdad son un ASCO de empresa, como roban y se aprovechan de las personas. NO COMPREN AQUÍ!! NO SE EXPONGAN A SER ROBADOS POR ESTOS SIN VERGÜENZAS @ccpefaur totalmente cierto lo que dices, yo llego 5 meses esperando la devolución de mi dinero y lo único que hacen es pedir disculpas y no te devuelven el dinero, somos muchas las personas con el mismo problema","

Devolución de dinero por pedidos no concretados en Wallmart."
116,Estimados por favor me podrían informar el estado del reclamo CAS-3818133? Ya han pasado 32 dias y aun no recibo el dinero de vuelta. Muchas gracias,"
Estado de un reclamo."
117,Hola necesito obtener información sobre una compra que me anularon porque no tienen stock Y no me preguntaron si yo quería la anulación MEDIA_MESSAGE Necesito que me contacten a la brevedad al 968322742,"
Solicitud de contacto para reclamo de anulación de compra."
117,Hola necesito obtener información sobre una compra que me anularon porque no tienen stock Y no me preguntaron si yo quería la anulación MEDIA_MESSAGE Necesito que me contacten a la brevedad al 968322742,"
Solicitud de información sobre anulación de compra."
119,"Hola  el abonó de latam es de ustedes?resulta hace como 2 meses llevamos esperando la devolución de dinero por productos faltantes y ahora sale un abono de como 12 y la devolución tendría que ser más como 22Orden 3008588537Reclamo cas 3835831se creó el caso N.° CAS-3885413-P7S6P7caso bajo el N°CAS-3885433-B0X5Y3, una insistencia con el número CAS-3898470-G8Q4T7 MEDIA_MESSAGE","
Devolución de dinero por productos faltantes."
120,@LIDERcl quiero comprar por la app y no puedo :(,"

Problemas con la aplicación de compras de Wallmart."
121,"@LIDERcl Necesitaba hacer una compra para hoy y no tienen ni despacho a domicilio durante el día ni tampoco para retirar en pick up HOY mismo, cuál es la idea entonces? Mejor pongan qué hay que pedir una semana antes para que llegue a tiempo…","
Las limitaciones de pedidos de Wallmart."
128,A que hora abren?,"
Horario de apertura de Wallmart."
130,Denuncia ante el SERNAC yo estoy esperando mi devolución y aun nada. Compren en @jumbochile  es mas seguro y se hacen responsable al instante si hay que hacer devolucion @jefferson.arias.980 Denuncia ante el SERNAC yo estoy esperando mi devolución y aun nada. Compren en @jumbochile  es mas seguro y se hacen responsable al instante si hay que hacer devolucion,"
El mal servicio de Wallmart al no realizar la devolución del cliente y su recomendación de comprar en Jumbo Chile."
132,"@LIDERcl @Walmart__Chile @SERNAC pedido no entregado desde el 16 de diciembre, 24 días sin solución no repuesta efe… https://t.co/YNt8yJqb1n","

Demora en la entrega de un pedido."
136,"@LIDERcl hicimos una compra y nos llegó un pollo en mal estado, hemos reclamado y no pasa nada con ustedes.Caso 3939126","
Reclamo por producto en mal estado."
138,Siempre que hay ofertas en @LIDERcl se cae la página grrr,"
Experiencia de compra en Lider."
138,Siempre que hay ofertas en @LIDERcl se cae la página grrr,"
Frustración por problemas técnicos al intentar realizar una compra."
147,De que sirve que tengan ofertas por Internet si la página no funciona?,"
Problemas con el funcionamiento de la página de Wallmart."
154,"Hola Buenos días Hola , buenos días mi caso es el CAS-3792955 , ha pasado más de dos semanas del pedido y aún no ha pasado nada y no he tenido ninguna respuesta  de la devolución . Y ya se cumplieron los 10’dias hábiles","
Devolución de un pedido."
159,"Te cuento Acabo de ir a cambiar la carne , me la cambiaron sin problemas Llego al departamento y la habro para prepararla y esta esta mas edionda que la de ayer !! Es necesario ir al mismo lider u puedo cambiar en otro ?","
Cambio de productos en Walmart."
168,"Buenas tarde tengo una duda, por la página aparece despacho gratis desde el 30-12 al 05-01 Estoy comprando pero no se ve reflejado el descuento del despacho MEDIA_MESSAGE MEDIA_MESSAGE","

Duda sobre descuento de envío gratuito."
169,"Holaaa, cuando se viene mil productos a 1000 pesos? Saludos","
Promociones de precios."
176,"@LIDERcl Buenas tardes.trato de hacerle seguimiento a mi compra, ingreso código y rut y una vez hecho USTEDES AGREGAN UNA LETRA o  antes del código, PARA DECIRME Q ESTÁ MAL EL CÓDIGO..xq lo hacen?? Cual es la idea https://t.co/r9TUfukCef","
Seguimiento de compra en Wallmart."
177,Quiero una campaña contra @LIDERcl el servicio pickup me vendió un queso podrido aún no me devuelven el dinero y un… https://t.co/IBjTvAYV25,"

Reclamo por mal servicio de LIDERcl."
190,"Hola, llevo mucho tiempo esperando una devolución de dinero por una compra que realicé   y no tenían stock, hasta reclamos telefónicos y nada, espero que por este medio me puedan ayudar. A continuación van los datos:Mi pedido #9507089011 por $16.980, reclamo #3861989 (27/12) y volví a llamar el (07/01/2021)","
Devolución de dinero por compra sin stock."
191,@nina.l.m yo estoy esperando un pedido desde el lunes 27 y nada…,"

Demora en la entrega de un pedido de Wallmart."
192,@LIDERcl cómo es eso que no tienen despacho a domicilio en San Miguel? Siempre he comprado y me traen las cosas a mi depa y ahora dicen que no tienen despacho?,"
Servicio de despacho a domicilio."
193,"Buenas tardes, compre unos sillones deberían haber llegado el 14 del mes en curso, aun no llega y tampoco se han contactado conmigoRut 10990991-2 N• orden 50020923717 Ojala me den  Solución","
Retraso en la entrega de un pedido."
199,"@LIDERcl hola, tengo un pedido que no me llego en la fecha estipulada y no me llamaron para avisar, hice el requerimiento necesario para tener más información pero aún no me contactan, necesito una pronta entrega, viaje para recibir el pedido y no llego, quien me paga el viaje 🤷🏻‍♀️","

Retraso en la entrega de un pedido y solicitud de reembolso por viaje."
200,@LIDERcl  genere una solicitud para que me envíen boleta  electrónica   que compre por Internet para hacer  un cambio de producto Cuando fui a retirar el producto  me la dieron pero se me perdiósolo tengo hasta el viernes para hacer efectivo el cambio. la necesito urgente xfavor,"
Solicitud de boleta electrónica para realizar un cambio de producto."
201,"Un desastre. Hice un pedido, cambiaron el horario porque no tenían stock de nada, al día siguiente me reembolsan solo un 30% de mi dinero!! Y después, en mi siguiente pedido, me envían productos demás con cosas que ni siquiera conozco !! Un desastre este supermercado. Prefieran @jumbochile","

Experiencia negativa con Wallmart."
202,"@LIDERcl @SERNAC compra realizada  por internet el martes 28/12 no llego el 30/12, me llamaron el 31/12 para anular compra, necesito devolución de dinero ya!!!! Como es posible q nadie responda? En el teléfono para reclamos responde una maquina q no tiene esta opción en el menú","
Reclamo por servicio de entrega de compra realizada por internet."
203,Hola Sabes que aún no recibí ninguna respuesta de mi reclamo,"
Reclamo de un cliente de Wallmart."
206,"@lider_cl no les pregunte si funciona o no su web, es un producto deteriorado... Hasta el algoritmo que tienen es nefasto","
Calidad del servicio en línea de Wallmart."
207,"@LIDERcl todavía espero mi boleta , la solicite el día 24-12-2021 !!!!!","
Reclamo de boleta."
210,"@LIDERcl compré un refrigerador ayer y decía que llegaría hoy y aún no ha llegado, muy irresponsables @SERNAC","

El incumplimiento de una promesa de entrega por parte de Lider."
210,"@LIDERcl compré un refrigerador ayer y decía que llegaría hoy y aún no ha llegado, muy irresponsables @SERNAC","

Mala experiencia de compra en Wallmart."
215,Lo mismo con la carne barata que ponen en el líder de av central en maipu. Perdió la cadena de frío y vamos vendiendo a mitad de precio!! Imagínense cuanta gente en servicio al cliente pidiendo la devolución del dinero por lo edionda que estaba la carne al abrir la bolsa al vacío!!😂😂😂😂😂😂😂😂😂,"

Calidad del producto en Wallmart."
215,Lo mismo con la carne barata que ponen en el líder de av central en maipu. Perdió la cadena de frío y vamos vendiendo a mitad de precio!! Imagínense cuanta gente en servicio al cliente pidiendo la devolución del dinero por lo edionda que estaba la carne al abrir la bolsa al vacío!!😂😂😂😂😂😂😂😂😂,"

Calidad del producto y servicio al cliente en Wallmart."
218,Hola aprovecho esta instancia para hacer un reclamo ya que mi producto debió llegar el dia 14 de enero y hasta el dia de hoy aun no llega y llamo y solo me dicen que tengo que esperar 😡 yo necesito mi producto con suma urgencias!!!!! Necesito una solución luegoooo.,"
Reclamo por retraso en entrega de producto."
228,"Hola buenos días!! Una consulta, el envío gratis es solo cuando se pide por la app o también por la página web?","
Envío gratis de Wallmart."
238,"@LIDERcl el colmo tener q esperar 3 semanas por un reclamo en su plataforma de atención vía WhatsApp donde atienden puros Bots y no entregan ninguna respuesta. Todo mal, pésima atención al cliente, cambian los productos a menor calidad y no responden. N°CAS-3882436 del 30/12/21","
Pésima atención al cliente."
248,Necesito comprar ese cesto pero no trae las medidas ni en la página web ni en la app Por eso le pregunto,"

Dificultades para encontrar información sobre un producto en la página web o aplicación de Wallmart."
249,"No avisan cuando no hay stock, pésimo servicio y mala atención en call center","
Mala atención al cliente y falta de stock."
261,"@LIDERcl  (Viña Pleno Centro) @Soprole  Segunda vez que mi postre favorito viene con una consistencia  rara, harinosa . Su fecha de vencimiento es el 31 de Enero . https://t.co/ShMOPJBnHZ","

Calidad del producto."
262,"@LIDERcl harto malo el delivery q entrega productos descongelados y podridos, peor aun si quiero reclamar a ustedes… https://t.co/YrPb3wsWHV","

Quejas sobre el servicio de entrega de LIDER."
284,Otra vez fui a @LIDERcl a comprar carne y esta descompuesta. Segunda vez ! @WalmartChile qué onda? Que se hace ?,"

Calidad del producto en LIDER."
286,"@LIDERcl segunda vez que nos sale la carne con un olor terrible, para el año nuevo tuvimos que botar un montón de asado y ahora nuevamente nos pasa lo mismo 😡, la carne está sumamente edionda, la vez anterior estaba amarga y se veía rojita https://t.co/6pIdxQseWg","

Calidad de la carne en LIDER."
289,Hice una compra hace casi una semana en página web y hoy el dia de despacho dicen que ya no hay stock en varios productos pésimo sus protocolos el mismo día de la compra deben dejar reservado por algo se paga en el minuto no esperar hasta el día de entrega para recién buscar los productos que poco serios !  no recomiendo para nada comprar vía web pésima experiencia me confié deje de comprar en otros supermercados y ahora me quedo sin productos !,"
Experiencia de compra en la página web de Wallmart."
294,"Buenos días, ayer me llego mi pedido de compra online y es segunda vez que me pasa que me devuelven menos del valor que yo pague por los productos sin stock, de verdad me parece increíble que esto pase. Necesito hablar con alguien por teléfono o que me envíen algún correo para que pueda hablar con alguien a cargo porque ya es suficiente este trato La vez pasada realice un reclamo y no obtuve respuesta por parte de ustedes","
Reclamo por devolución de valor menor al pago por productos sin stock."
295,"Buen día Realice una compra el lunes 17 enero en Lider puente, Las Condes.Intento realizar reclamo en libro virtual el cual no deja marcar la tienda por lo que no permite generar reclamo Compré crema dental y está está vencida de octubre 2021.Me contacto vía telefónica y la solución es hacer arme a una tienda con el producto para que lo cambien. Quien me responde con los gastos Tag, bencina peaje y estacionamiento?Necesito contactar para que  resuelvan mi problema.Lider está vendiendo productos vencidos Buen día Realice una compra el lunes 17 enero en Lider puente, Las Condes.Intento realizar reclamo en libro virtual el cual no deja marcar la tienda por lo que no permite generar reclamo Compré crema dental y está está vencida de octubre 2021.Me contacto vía telefónica y la solución es hacer arme a una tienda con el producto para que lo cambien. Quien me responde con los gastos Tag, bencina peaje y estacionamiento?Necesito contactar para que  resuelvan mi problema.Lider está vendiendo productos vencidos","
Reclamo por producto vencido comprado en Lider Puente Las Condes."
298,Hola compre un producto el 15 de diciembre Con despacho para el 28 Y este aún no llega No hay respuesta al llamar,"

Retraso en el envío de un producto."
313,"@LIDERcl Aún espero el reembolso de mi dinero del 19 de diciembre, miserables 18 Lukas, cómo tanto tiempo para eso...","
Reembolso de dinero."
314,"@LIDERcl no están respetando el despacho gratis que indica su campaña actual. Al comunicarse con servicio al cliente me indican que los $3990 (de una compra de 130 mil pesos) está bien cobrado, porque no vivo ni en Arica ni en Punta Arenas... Plop! https://t.co/BGU5Fvzvox","
Descontento por el cobro de despacho a pesar de la promoción de envío gratis."
320,Hola Buena tarde Quería saber que novedad hay respecto a mi caso Hoy ya va más de medio día y aun no despachan llaman,"
Demora en el despacho de un pedido."
322,"Hola, buenas tardes hice un pedido el 3 de diciembre ,para despacho a domicilio el cual nunca llegó ...","

Demora en el envío de un pedido."
324,"Hola ... Pésimo servicio líder . Hice un pedido el 3 de diciembre con despacho a domicilio el cual nunca llegó .. pedí devolución de mi dinero y hasta el día de hoy no he recibido ninguna respuesta ... Que falta de respeto ,juegan con el tiempo y dinero de la gente . Y para que decir del call Center ,pésimo aún ... Solo dan calmantes y ni siquiera gestionan bien lo que uno les comenta .. ya me veo en la obligación de realizar un reclamo formal en Sernac ...#quieromidinerodevuelta","
Mala atención al cliente y falta de respuesta por parte de Wallmart."
326,@LIDERcl qué pasa? La página dice despacho gratis sobre $15.000 de Arica a Punta Arenas. Estoy comprando más que eso y me está cobrando el despacho!tienen problemas en la página? https://t.co/HEZtcMavsS,"

Problemas con el despacho gratis en la página de Lider.cl."
329,"@LIDERcl aún sigo esperando a que me contacten porque no ha llegado mi compra, por wsp sólo me dicen que espere y nadie sabe dónde está.","
Reclamo por retraso en la entrega de una compra."
330,Hola  buenas  tardes  compre  el 22  de diciembre  en lider  av central  maipu  lo cual no había  stock  al día  de hoy  no tengo la devolución de mi dinero   NECESITO  SOLUCION  MI RUT  ES 14044512-6   PEDRO ESPARZA NUMERO DE CASO 3901032,"
Devolución de dinero."
333,"@LIDERcl @_nanoartista Uds Líder, son un fiasco a mi por un producto podrido nunca me devolvieron nada y querían q llevará el producto presencialmente en medio de una cuarentena. El año 2021 hasta hoy nunca devolución del valor pagado ASÍ SON @SeremiSaludRM, no hace nada, ninguna visita inspectiva","

Devolución de producto por parte de Wallmart."
333,"@LIDERcl @_nanoartista Uds Líder, son un fiasco a mi por un producto podrido nunca me devolvieron nada y querían q llevará el producto presencialmente en medio de una cuarentena. El año 2021 hasta hoy nunca devolución del valor pagado ASÍ SON @SeremiSaludRM, no hace nada, ninguna visita inspectiva","

Devolución de productos de Wallmart."
337,"No puedo comprar, la página me devuelve al pago y a la devolución!","
Problemas de pago en línea en Wallmart."
341,"y sigo esperando la devolución de mi compra, desde agosto que estoy esperando y me siguen diciendo lo mismo, que me van a contactar, mienten y mienten, es cosa de leer los reclamos de los clientes, las compras nunca llegan, no dan solución, no dan la cara Lean todos los reclamos de los clientes, todos estamos esperando la devolución de nuestros dineros, y siempre responden con lo mismo, son unos sinverguenzas y mentirosos, somos miles los que esperamos que nos devuelvan el dinero de nuestras compras que nunca despacharon !!!!!!!!","

La falta de devolución de compras por parte de Wallmart y la falta de solución por parte de la empresa."
344,"Ni tengo la boleta Es una zona rural  no puedo tener la carne podrida tantos dias La deseche Y el supermercado me queda a 17 km de mi casa, no puedo ir a cada rato","

Quejas sobre el servicio de Wallmart."
345,"Siempre agotados los productos en promoción, una lata!!!","

Descontento con la disponibilidad de productos en promoción en Walmart."
350,"Hola, de forma presencial tienen productos a mil?","
Precios de productos en Wallmart."
352,Hola Si tengo solo 4 cotizaciones en mi AFP en el último año Puedo sacar tarjeta lider?,"

Pregunta sobre cotizaciones a la AFP."
355,"@lider_cl pésimo servicio te atención post venta, me trajeron un producto vencido... todo el dia reclamando y no dan ninguna solución","
Servicio de atención post venta."
356,"LEJOS EL PEOR SERVICIO!!!!! mi compra no llegó y estoy de vacaciones!!!!! No compren acá …. No me dan ninguna solución y solo una maquina pide disculpas por lo inconvenientes, QUE VERGÜENZA!!!","

Mala experiencia de servicio al cliente en Wallmart."
362,"@alfacornelio cuando hablas con el ejecutivo lo primero que te dicen es que cómo cliente tienes la opción de anular la compra o seguir esperando pero si la anulas se demoran demasiado en hacer la devolución,son son si vergüenzas @alfacornelio sería genial funarlos para ver si así apresuran las cosas","
Devolución de dinero por compras realizadas en Walmart."
366,"Como las weas el servicio, un mes esperando la devolución de dinero","

Servicio al cliente de Wallmart."
367,"@LIDERcl hay algo más picante que la aplicación de supermercado? Tenía 14.000 pesos Lider,  desaparecieron de la compra y ahora tienen que “elevar requerimiento para ver qué pasó”. INSÓLITO.","

Insatisfacción con el servicio de Lider/Walmart."
368,"Jamás volveré a comprar en Líder, mi pedido no llegó en fecha pactada y ni saben donde está en sus sistemas. Son unos estafadores!!!! 😡😡 Jamás volveré a comprar en Líder, mi pedido no llegó en fecha pactada y ni saben donde está en sus sistemas. Son unos estafadores!!!! 😡😡","

Mala experiencia de compra en Líder."
380,"@rodrigosepu #alerta Rodrigo puedes hablar de @LIDERcl Hice pedido on-line el 30nov21 lo cobraron de mi cuenta corriente pero que nunca me entregaron. Los he llamado ya perdi la cuenta,mensajes por IG, Twitter, dicen que llamarán y nada, hay más personas en la misma situación(ver redes lider)","

Reclamo por falta de entrega de pedido realizado online a LIDER."
381,No hay stock deberían borrar esa publicación para no perder el tiempo,"
Falta de stock."
389,"Hice una compra online en la cual había un producto sin stock pedí la devolución de dinero hace 2 semanas y me llegó un depósito por $850, weones sinvergüenzas wn","

Devolución de dinero por producto sin stock."
395,"Pesimo el servicio de lider, llamo al call center y ninguna respuesta seria, aun sigo esperando mi pedido y veo que no soy el unico, no compren en lide.cl Al que vea este mensaje, NO compre en lider.cl, puros problemas ninguna solucion","

Mala experiencia de servicio de Lider.cl."
396,@LIDERcl del viernes 7 de diciembre que estoy esperando una compra!!!,"
Espera de una compra en Lider."
398,Sin stock estafa,"

Falta de stock en Wallmart."
402,La respuesta que me das es la misma que me han dado por teléfono No entiendo que las devoluciones por no tener stock no se hagan efectivas de forma inmediata No solucionan nada A pesar de todos los re lamis realizados,"
Devolución de productos por falta de stock."
406,"ℹ Story MEDIA_MESSAGE MEDIA_MESSAGE MEDIA_MESSAGE MEDIA_MESSAGE hola, estoy indignada porque a la hora de tomar té, abrimos el pan para comer y venía LLENO DE HORMIGAS así como se ve en la foto. Y no era 1, eran 4 panes con lo mismo. Espero me den una respuesta","

Una experiencia desagradable con los productos de Walmart."
411,Aún no recibo llamado de parte de líder que solucione y envíe mis dos productos,"
Servicio al cliente."
416,Sale mas caro q en otras tiendas aún q el envío sea gratis coticen,"

Precio de los productos en Walmart."
419,No me hace el descto de despacho gratuito por sobre 15.000…,"
Descuentos de envío gratuitos."
419,No me hace el descto de despacho gratuito por sobre 15.000…,"
Descuentos en envíos."
429,"No pongan ofertas si no tienen los productos, quise comprar la oferta del Ramazzotti y me sale que esta agotado.","
Falta de disponibilidad de productos."
435,@LIDERcl estimados sigo esperando respuesta desde el sábado por envío con menos productos de los comprados!!!,"

Reclamo por envío incompleto."
437,@LIDERcl Se repiten los mismos problemas de cumplimiento de las entregas de compras online. En mi caso compré el 25.11.2021 (50019127139) y hasta este minuto no llega la compra ni responden a los reiterados llamados de reclamo...hasta cuandosigo esperando..?,"

Problemas de cumplimiento de entregas de compras online."
438,"@LIDERcl Que cambio voy a realizar? Imposible guardar un minuto más el pollo podrido, dejó la casa pasada en cosa de segundos!","

Calidad de los productos de Walmart."
442,Hola. El sábado 8 me llevaron una torta a modo de disculpa por lo sucedido con las mantequillas... torta vencida como se verá en las fotos... me pregunto cuál era la idea... burlarse 😡😡😡 aún sigo indignada con eso. Una torta vencida por Dios que manera de reírse y faltar el respeto ustedes 😡😡,"

Falta de respeto y descontento con el servicio de Wallmart."
444,"Voy por el año y 3 meses, esperando la devolucion de mi dinero...he enviado mail con mis datos y aun no responden. Cero empatia....asi que , no me respondan lo mismo de siempre si no lo van hacer😡","

La falta de respuesta por parte de Wallmart a la solicitud de devolución de dinero del cliente."
448,@LIDERcl hola! Quería saber el horario de atención de hoy! Saludos,"
Horario de atención."
449,"@alfacornelio al final se comunicó ayer una ejecutiva la cual no me dio ninguna solución al igual que las otras veces🤷🏻‍♀️me dijo que tenía dos opciones anular la compra o seguir esperando ya que mi producto no salía de la bodega,si tomaba la decisión de seguir esperando tenía que ser hasta el 15 de febrero me dio mucha rabia pero mucha porque llevo esperando desde diciembre en que debió de llegar y querían que esperara casi 3 meses?es una burla,obviamente anule la compra y la compensación que supuestamente te deberían de hacer por la demora o por el mal rato ni de hablar te hacen solo el 10%del total de la compra pero eso es solo si haces la anulación al final las condiciones las ponen ellos,no pierden por ningún lado,ahora quizás cuánto tengo que esperar para que se comuniquen conmigo nuevamente ya que la reversa a la tarjeta la hacen a la tarjeta asociada a la compra  y resulta que compre con la lider y comprenderán ustedes que no volveré a comprar nunca mas en el lider eso está claro jajaja","

El mal servicio al cliente de Wallmart."
452,Mi primera experiencia de compra en @LIDERcl y casi 30% del monto total son productos que no llegaron y desde las 14.30 dejaron de responder el chat. https://t.co/7eATPwWu3A,"

Experiencia de compra negativa en LIDER."
458,"48 horas? Un chiste ,aún espero que me cambien la bicicleta que compre para navidad,me trajeron una mucho más barata y se equivocaron de aro,llamo todas las semanas y aún no recibo respuesta","

Reclamo por servicio deficiente."
460,"Hoy, en #ElDatoDeLaJóse, me parece maravilloso q @LIDERcl , @Unimarc y @TottusChile apliquen la rebaja (de hasta un 50%) en productos próximos a vencer. Con esta iniciativa ganamos todos... Anímense y comprueben lo conveniente q es. #DatoCurioso","

Ahorro y descuentos en productos próximos a vencer en LIDER, Unimarc y Tottus Chile."
462,"Líder, aún espero respuesta de mi reclamo 3922950. Le envie mi correo aburtolarrere@gmail.com y no se dignan contactarse. Hace unos días me llamó Camila Henríquez y me aseguró me enviarían las 4 sillas que no entregaron. Ilusamente le creí y agradeci el contacto porque me dio su nombre y telefono para que la llamara.... JAMÁS ME HA CONTESTADO NI CONTESTA WHATSAPP. Por Messenger solo contesta un robot ....o sea es un robo por parte de Lider porque nadie se quiere hacer responsable.","

Reclamo de productos no entregados por Wallmart."
